key,canonicalId,duplicateId,duplicateTitle,duplicateLink,duplicateRating
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_04227ba94f34,"우웅우웅","https://www.youtube.com/watch?v=q85dZ_k3yi4&list=PLqqQvcAR1H0lvolLTN_AB-VBqrRmobXI2",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_1219b5c0a8a6,"Best Mistake 일진에게 찍혔을 때","https://www.youtube.com/watch?v=_KuD_9hI1JU&list=PL-_OJ0JPc_PAndGfpMTumD70kTpYRo3AL",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_a0ded953a45f,"잘빠진 연애","https://www.youtube.com/watch?v=4zA-sx0NbR0",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_4b4c1d8ffa7f,"좀 예민해도 괜찮아","https://www.youtube.com/watch?v=JjgNT-BF30A",
https:/www.youtube.com/playlist,korean_godmic,12_aHR0cHM6,"란마1/2","https://www.youtube.com/playlist?list=PLCl5onjmmNJY-15421QRaapXsP1Ggg2pu",
https:/www.youtube.com/playlist,korean_godmic,fluent_forevers_video_series_aHR0cHM6,"Fluent Forever’s video series","https://www.youtube.com/playlist?list=PLlmgeS8moU5hBeZG8_apQjWJ-yWq-1DLT",
https:/www.youtube.com/playlist,korean_godmic,__comprehensible_input_korean_aHR0cHM6,"태웅쌤 \\- Comprehensible Input Korean","https://www.youtube.com/playlist?list=PLq3xYXNB0JzAlAc2g_Fy9KgpRnrIHKEOE",
https:/www.youtube.com/playlist,korean_godmic,professor_yoon_aHR0cHM6,"Professor Yoon","https://www.youtube.com/playlist?list=PL6D-YTosvGYoi-eplvljZksq2I2PAKdiC",
https:/www.youtube.com/playlist,korean_godmic,go_billys_series_on_aHR0cHM6,"Go\\! Billy's series on","https://www.youtube.com/playlist?list=PLbFrQnW0BNMVrHEJCOYWbLnXFzj4bl5z0",
https:/www.youtube.com/playlist,korean_godmic,ref_5c5045c902a8,"케로로","https://www.youtube.com/playlist?list=PLcsPbiUYbvfaOFE1SCVz7ZmBA6B4yWukQ",
https:/www.youtube.com/playlist,korean_godmic,ref_1c2d40619c0b,"란마1/2","https://www.youtube.com/playlist?list=PL3cIbW21Bir0P_FGXwCYFLoCvTCHaHpVz",
https:/www.youtube.com/playlist,korean_godmic,ref_4023d184c4fa,"아즈망가대왕","https://www.youtube.com/playlist?list=PLzDQtUNi-zonDsz19vXFXu1x_0m6ujR6X",
https:/www.youtube.com/playlist,korean_godmic,ref_060dab24744a,"세바시","https://www.youtube.com/playlist?list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5",
https:/www.youtube.com/playlist,korean_godmic,ref_d1235f110c0e,"세바시","https://www.youtube.com/playlist?list=PLI6bDyv0uVQDupqYVpubG-QLnYrsJoGjD",
https:/www.youtube.com/playlist,korean_godmic,ref_4ca00b13bd5a,"이상엽 (수학의신)","https://www.youtube.com/playlist?list=PL127T2Zu76FveA8TGXZU-PSSt7GTMhKp6",
https:/www.youtube.com/playlist,korean_godmic,ref_a76fd4eb2fe4,"이상엽 (수학의신)","https://www.youtube.com/playlist?list=PL127T2Zu76FuVMq1UQnZv9SG-GFIdZfLg",
https:/www.youtube.com/playlist,korean_godmic,ref_8e3b6bf90456,"이상엽 (수학의신)","https://www.youtube.com/playlist?list=PL127T2Zu76FsJPSJzoq2MsMqgwDmimDg0",
https:/www.youtube.com/playlist,korean_godmic,ref_06e97c8b9393,"이상엽 (수학의신)","https://www.youtube.com/playlist?list=PL127T2Zu76FtYKMJqhX4cE-kzGqR302_y",
https:/www.youtube.com/playlist,korean_godmic,ref_4ab9344bb82c,"진용진","https://www.youtube.com/playlist?list=PLkH5IoAQDW0bG5ONoBH2_71NU5MdDnKX2",
https:/www.youtube.com/playlist,korean_godmic,ref_2cef8bff5337,"GoBillyKorean","https://www.youtube.com/playlist?list=PLbFrQnW0BNMURpRox1K0buigypjtCvAlE",
https:/www.youtube.com/playlist,korean_godmic,ref_9167a5b1cf4a,"GoBillyKorean","https://www.youtube.com/playlist?list=PLbFrQnW0BNMUkAFj4MjYauXBPtO3I9O_k",
https:/www.youtube.com/playlist,korean_godmic,ref_bfc99a7e3a67,"GoBillyKorean","https://www.youtube.com/playlist?list=PLbFrQnW0BNMXhenB_PVZ4FmIJcLnoGODx",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,2015_aHR0cHM6,"2015 소름","https://comic.naver.com/webtoon/list.nhn?titleId=657934",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,2016_aHR0cHM6,"2016 비명","https://comic.naver.com/webtoon/list.nhn?titleId=682803",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,2019___aHR0cHM6,"2019 귀신사용서명서 \\- 괴담의 재구성","https://comic.naver.com/webtoon/list.nhn?titleId=729049",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,30_aHR0cHM6,"걸어서 30분","https://comic.naver.com/webtoon/list.nhn?titleId=700844",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,jpg_aHR0cHM6,"공감.jpg","https://comic.naver.com/webtoon/list.nhn?titleId=686911",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,a_aHR0cHM6,"여중생 A","https://comic.naver.com/webtoon/list.nhn?titleId=647946",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,penguin_loves_mev_aHR0cHM6,"Penguin loves Mev","https://comic.naver.com/webtoon/list.nhn?titleId=169080",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_816ec4d5d97a,"개미","https://comic.naver.com/webtoon/list.nhn?titleId=740386",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_4e81d5c7afad,"귀도","https://comic.naver.com/webtoon/list.nhn?titleId=682222",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_8a682974762d,"대학일기","https://comic.naver.com/webtoon/list.nhn?titleId=679519",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_adb01b164b78,"두번쨰 생일","https://comic.naver.com/webtoon/list.nhn?titleId=739292",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_f65cc3104611,"방탈출","https://comic.naver.com/webtoon/list.nhn?titleId=733034%20",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_44bf1542aed5,"소녀재판","https://comic.naver.com/webtoon/list.nhn?titleId=743838",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_09cde6be187a,"운수 오진 날","https://comic.naver.com/webtoon/list.nhn?titleId=745237",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_2c4b02664c73,"좀비딸","https://comic.naver.com/webtoon/list.nhn?titleId=715772",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_b50c819f4410,"타인은 지옥이다","https://comic.naver.com/webtoon/list.nhn?titleId=708378",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_4670441adb48,"관계의 종말","https://comic.naver.com/webtoon/list.nhn?titleId=752803",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_7ed0cb7d3238,"기기괴괴","https://comic.naver.com/webtoon/list.nhn?titleId=557672",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_cf5177b03f50,"기억흔적","https://comic.naver.com/webtoon/list.nhn?titleId=739113",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_65e7955e44d3,"나의 우주","https://comic.naver.com/webtoon/list.nhn?titleId=731939",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_5fa40170fdad,"노블레스","https://comic.naver.com/webtoon/list.nhn?titleId=25455",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_03bd9263a9fb,"데이즈","https://comic.naver.com/webtoon/list.nhn?titleId=752462",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_6f762913c9a5,"라스트 서브미션","https://comic.naver.com/webtoon/list.nhn?titleId=723357",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_82c308dcf83d,"로그아웃","https://comic.naver.com/webtoon/list.nhn?titleId=733033",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_c7a4833161cb,"먹이","https://comic.naver.com/webtoon/list.nhn?titleId=724274&week=sat&sortOrder=ASC",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_2a2774636532,"밀웜","https://comic.naver.com/webtoon/list.nhn?titleId=734041",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_443009505b7e,"신과 함께","https://comic.naver.com/webtoon/list.nhn?titleId=697685",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_8c99247c1338,"신도림","https://comic.naver.com/webtoon/list.nhn?titleId=683496",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_f5a5d62a6450,"아도나이","https://comic.naver.com/webtoon/list.nhn?titleId=725829",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_2da381b02d00,"안개무덤","https://comic.naver.com/webtoon/list.nhn?titleId=731930",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_b49526aaf6cf,"여신강림","https://comic.naver.com/webtoon/list.nhn?titleId=703846",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_52de42d9f820,"여탕보고서","https://comic.naver.com/webtoon/list.nhn?titleId=639604",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_ffcf05edacf3,"오늘 밤은 어둠이 무서워요","https://comic.naver.com/webtoon/list.nhn?titleId=632342",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_bf674e41d26c,"이제 곧 죽습니다","https://comic.naver.com/webtoon/list.nhn?titleId=727189",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_58cbee2a7d93,"인어를 위한 수영교실","https://comic.naver.com/webtoon/list.nhn?titleId=728900",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_8828fe542f14,"치즈 인 더 트랩","https://comic.naver.com/webtoon/list.nhn?titleId=720121",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_43532ef99e3f,"테러맨","https://comic.naver.com/webtoon/list.nhn?titleId=670149",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_0cc9ed983d5b,"토끼대왕","https://comic.naver.com/webtoon/list.nhn?titleId=742826",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_a93c513bb97a,"호러전파상","https://comic.naver.com/webtoon/list.nhn?titleId=729037",
https:/comic.naver.com/webtoon/list.nhn,2011_aHR0cHM6,ref_86b51843cae0,"후기","https://comic.naver.com/webtoon/list.nhn?titleId=752072",
https:/play.google.com/store/apps/details,ttmik_audio_aHR0cHM6,ref_ed24e8a4d08d,"Audioclip by NAVER","https://play.google.com/store/apps/details?id=com.naver.naveraudio&hl=en_US&gl=US",
https:/play.google.com/store/apps/details,ttmik_audio_aHR0cHM6,ref_0351daf0b2d5,"http://www.podbbang.com/","https://play.google.com/store/apps/details?id=com.makeshop.podbbang&hl=en_US&gl=US",
https:/play.google.com/store/apps/details,ttmik_audio_aHR0cHM6,ref_45073c42d8a8,"App Store","https://play.google.com/store/apps/details?id=me.podty.android&hl=ko&gl=US",
https:/learn.dict.naver.com/wordbook/koendict/,beginner_aHR0cHM6,ref_09da879d6915,"[Beginner","https://learn.dict.naver.com/wordbook/koendict/#/my/pick?page=category&categoryId=3b36224f26364e9fb5b8d9b769f185cd&categoryName=TOPIK%20Intermediate",
https:/youtube.com/playlist,ref_fd64a8aaed99,ref_093bac9657f8,"수다녀들","https://youtube.com/playlist?list=PLc6lZzOWZpl8uaG57G1iMdxzBtLgESuMy",
https:/comic.naver.com/bestchallenge/list.nhn,ref_a2cf6c115394,ref_bd23e91d41d5,"기묘한 기담","https://comic.naver.com/bestChallenge/list.nhn?titleId=694933",
https:/comic.naver.com/webtoon/detail.nhn,ref_18a0270660b0,ref_89c26abc1c8d,"스위트홈","https://comic.naver.com/webtoon/detail.nhn?titleId=701081&no=7&weekday=fri",
